======================================================================
  NOMINALIZZAZIONI  –  PER DOCUMENTO
======================================================================

Documento                                       Totale  Density/100
--------------------------------------------------------------------
GLD_Gog_AS1_P31_P32_P33                            112         3.95
NAL_Car_AS1_P100                                    20         4.74
NAL_Car_AS1_P101                                    24         4.29
NAL_Car_AS1_P102                                    37         3.39
NAL_Car_AS1_P103                                    18         3.35
NAL_Car_AS1_P104                                    26         4.28
NAL_Car_AS1_P172                                    45         4.87
NAL_Car_AS1_P98                                     41         4.76
NAL_Car_AS1_P99                                     30         3.85
NAL_DiL_AS1_P105                                    42         2.84
NAL_DiL_AS1_P106                                    23         1.64
NAL_DiL_AS1_P107                                    18         1.47
NAL_DiL_AS1_P108                                    27         2.25
NAL_DiL_AS1_P109                                    26         2.05
NAL_DiL_AS1_P166                                    19         1.63
SCSA_Bon_AS1_P54                                    13         3.45
SCSA_Bon_AS1_P55                                    42         6.33
SCSA_Bon_AS1_P56                                    30         6.21
SCSA_Bon_AS1_P57                                    42         4.10
SCSA_Bon_AS1_P58                                    41         4.22
SCSA_Bon_AS1_P59                                    34         5.50
SCSA_Bon_AS1_P60                                    41         4.64
SCSA_Bon_AS1_P61                                    72         4.39
SCSA_Bon_AS1_P62                                    35         7.26
SCSA_Bon_AS1_P63                                    48         5.23
SCSA_Bon_AS1_P64                                    41         6.47
SCSA_Bon_AS1_P65                                    35         6.14
SCSA_Bon_AS1_P66                                    41         6.58
SCSA_Bon_AS1_P67                                    27         4.99
SCSA_Bon_AS1_P68                                    24         5.78
SCSA_Bon_AS1_P69                                    23         3.97
SCSA_Bon_AS1_P70                                    39         4.59
SCSA_Bon_AS1_P71                                    44         4.67
SCSA_Bon_AS1_P72                                    24         5.66
SCSA_Bon_AS2_P54                                    40         6.36
SCSA_Bon_AS2_P56                                    33         4.27
SCSA_Bon_AS2_P62                                    28         6.54
SCSA_Bon_AS2_P67                                    31         5.05
SCSA_Bon_AS2_P68                                    36         5.39
SCSA_Bon_AS2_P69                                    48         4.67
SCSA_Bon_AS2_P70                                    44         5.85
SCSA_Bon_AS2_P72                                    29         7.16
SCSA_Bon_AS2_P73                                    51         5.80
SCSA_Bon_AS2_P74                                    48         6.53
SCSA_Bon_AS2_P75                                    42         6.67
SCSA_Bon_AS2_P76                                    25         5.69
SCSA_Bon_AS2_P77                                    59         5.14
SCSA_Bon_AS2_P78                                    23         5.48
SCSA_Bon_AS2_P79                                    16         5.21
SCSA_Bon_AS2_P80                                    38         4.36
SCSA_Bon_AS2_P81                                    40         4.55
SCSA_Bon_AS2_P82                                    31         4.59
SCSA_Bon_AS2_P83                                    17         3.75
SCSA_Bon_AS2_P84                                    14         5.41
SCSA_Bon_AS2_P85                                    20         4.91
SCSA_Bon_AS2_P86                                    28         4.78
SCSA_Bon_AS2_P87                                    57         7.45
SCSA_Bon_AS2_P88                                    32         5.87
SCSA_Bon_AS2_P89                                    43         6.29
SCSA_Bon_AS2_P90                                    38         4.22
SCSA_Bon_AS2_P91                                    55         5.62
SCSA_Bon_AS2_P92                                    64         4.93
SCSA_Bon_AS2_P93                                    54         4.56
SCSA_Bon_AS2_P94                                    34         4.80
SCSA_Bon_AS2_P95                                    50         5.58
SCSA_Bon_AS2_P96                                    88         6.70
SCSA_Bon_AS2_P97                                    30         4.26
