======================================================================
  MORFOLOGIA  –  PER DOCUMENTO
======================================================================

Documento                                        TTR  Lemmi uniq   NOUN%   VERB%
CPH_Mor_AS2_P24                                0.288         186    26.7     8.7
CPH_Mor_AS2_P25                                0.294         252    23.7     7.9
CPH_Mor_AS2_P26                                0.295         302    24.8     8.1
CPH_Mor_AS2_P27                                0.262         134    21.3    11.6
CPH_Mor_AS2_P28                                0.263         213    28.5     9.2
CPH_Mor_AS2_P29                                0.228         202    19.9     8.9
CPH_Mor_AS2_P30                                0.223         219    19.5     9.8
DEIC_San_AS1_P35_P38_P41_P164                  0.188         593    20.3     7.0
ELClass_Zot_AS1_P157                           0.197         126    20.2    11.6
ELClass_Zot_AS2_P158                           0.214          60    21.4     8.9
ELClass_Zot_AS2_P159                           0.206         136    22.4    10.2
ELClass_Zot_AS2_P161                           0.244          69    23.0     9.9
ELClass_Zot_AS2_P163                           0.263          98    22.0     8.9
ELClass_Zot_AS3_P160                           0.218         104    25.4    10.9
ELClass_Zot_AS3_P162                           0.230          89    22.5    12.4
EOK_Geu_AS1_P34                                0.226         194    27.9    10.3
EOK_Geu_AS1_P35                                0.256         189    23.3     9.7
EOK_Geu_AS1_P36                                0.233         149    24.6    10.8
EOK_Geu_AS1_P37                                0.240         174    25.9    11.3
EOK_Geu_AS1_P38                                0.244         154    23.1    10.1
EOK_Geu_AS1_P39                                0.256         233    24.8    11.4
EOK_Geu_AS2_P34_P35_P40                        0.142         840    19.9     8.1
EOK_Geu_AS2_P39_P164_P165                      0.148         803    20.5     6.2
EOK_Geu_AS3_P164                               0.217         202    27.9    10.0
EOK_Geu_AS3_P165                               0.233         197    27.1    11.9
EOK_Geu_AS3_P40                                0.275          95    27.2    10.7
EOK_Geu_AS3_P41                                0.267         244    24.9     9.8
EOK_Geu_AS3_P42                                0.212         185    22.4    10.1
GLD_Gog_AS1_P169_P170                          0.216         665    20.8     9.8
GLD_Gog_AS1_P16_P167_P168                      0.199         612    23.1     9.2
GLD_Gog_AS1_P26                                0.193         657    21.7     8.9
GLD_Gog_AS1_P31_P32_P33                        0.187         595    22.1    10.9
NAL_Car_AS1_P100                               0.322         155    19.3     9.3
NAL_Car_AS1_P101                               0.230         143    19.8    10.3
NAL_Car_AS1_P102                               0.234         296    21.1     8.3
NAL_Car_AS1_P103                               0.271         165    17.3     7.4
NAL_Car_AS1_P104                               0.279         193    19.4    11.0
NAL_Car_AS1_P172                               0.317         325    22.2     9.1
NAL_Car_AS1_P98                                0.289         277    19.9     9.8
