======================================================================
  FORMULE ACCADEMICHE  –  PER DOCUMENTO
======================================================================

Documento                                       Totale  Den/1000t
------------------------------------------------------------------
GLD_Gog_AS1_P31_P32_P33                              4       1.42
NAL_Car_AS1_P100                                     2       4.87
NAL_Car_AS1_P101                                     2       3.64
NAL_Car_AS1_P102                                     3       2.80
NAL_Car_AS1_P103                                     1       1.90
NAL_Car_AS1_P104                                     2       3.34
NAL_Car_AS1_P172                                    11      11.97
NAL_Car_AS1_P98                                      9      10.61
NAL_Car_AS1_P99                                      2       2.62
NAL_DiL_AS1_P105                                     1       0.68
NAL_DiL_AS1_P106                                     0       0.00
NAL_DiL_AS1_P107                                     0       0.00
NAL_DiL_AS1_P108                                     1       0.85
NAL_DiL_AS1_P109                                     1       0.80
NAL_DiL_AS1_P166                                     0       0.00
SCSA_Bon_AS1_P54                                     1       2.66
SCSA_Bon_AS1_P55                                     0       0.00
SCSA_Bon_AS1_P56                                     1       2.08
SCSA_Bon_AS1_P57                                     2       1.97
SCSA_Bon_AS1_P58                                     0       0.00
SCSA_Bon_AS1_P59                                     1       1.61
SCSA_Bon_AS1_P60                                     2       2.30
SCSA_Bon_AS1_P61                                     5       3.08
SCSA_Bon_AS1_P62                                     0       0.00
SCSA_Bon_AS1_P63                                     1       1.09
SCSA_Bon_AS1_P64                                     0       0.00
SCSA_Bon_AS1_P65                                     1       1.75
SCSA_Bon_AS1_P66                                     0       0.00
SCSA_Bon_AS1_P67                                     1       1.86
SCSA_Bon_AS1_P68                                     0       0.00
SCSA_Bon_AS1_P69                                     1       1.75
SCSA_Bon_AS1_P70                                     0       0.00
SCSA_Bon_AS1_P71                                    10      10.64
SCSA_Bon_AS1_P72                                     0       0.00
SCSA_Bon_AS2_P54                                     1       1.60
SCSA_Bon_AS2_P56                                     2       2.68
SCSA_Bon_AS2_P62                                     0       0.00
SCSA_Bon_AS2_P67                                     0       0.00
SCSA_Bon_AS2_P68                                     0       0.00
SCSA_Bon_AS2_P69                                     0       0.00
SCSA_Bon_AS2_P70                                     0       0.00
SCSA_Bon_AS2_P72                                     0       0.00
SCSA_Bon_AS2_P73                                     6       6.95
SCSA_Bon_AS2_P74                                     0       0.00
SCSA_Bon_AS2_P75                                     0       0.00
SCSA_Bon_AS2_P76                                     0       0.00
SCSA_Bon_AS2_P77                                     3       2.72
SCSA_Bon_AS2_P78                                     2       4.84
SCSA_Bon_AS2_P79                                     1       3.29
SCSA_Bon_AS2_P80                                     5       5.78
SCSA_Bon_AS2_P81                                     8       9.24
SCSA_Bon_AS2_P82                                     1       1.50
SCSA_Bon_AS2_P83                                     2       4.61
SCSA_Bon_AS2_P84                                     0       0.00
SCSA_Bon_AS2_P85                                     3       7.48
SCSA_Bon_AS2_P86                                     2       3.46
SCSA_Bon_AS2_P87                                     2       2.71
SCSA_Bon_AS2_P88                                     2       3.73
SCSA_Bon_AS2_P89                                     3       4.50
SCSA_Bon_AS2_P90                                     1       1.12
SCSA_Bon_AS2_P91                                     3       3.07
SCSA_Bon_AS2_P92                                     4       3.13
SCSA_Bon_AS2_P93                                     3       2.59
SCSA_Bon_AS2_P94                                     1       1.43
SCSA_Bon_AS2_P95                                     1       1.13
SCSA_Bon_AS2_P96                                     5       3.88
SCSA_Bon_AS2_P97                                     2       2.90
