======================================================================
  KEYWORDS TF-IDF  –  PER DOCUMENTO
======================================================================

ALSPS_Zot_AS1_P147: satire, question structure, freedom speech, problem solution, slippery slope
CPH_Mor_AS1_P16: exports, india, colonial, colonial period, stereotypes
CPH_Mor_AS1_P17: natives, depictions, colonisers, need british, enslavement
CPH_Mor_AS1_P2: industrial goods, civilization, industrial, agro, agro sector
CPH_Mor_AS1_P3: colonized country, wrote, tribes, colonized, rescue
CPH_Mor_AS1_P4: motherland, beic, serfdom, tariffs, peoples
CPH_Mor_AS1_P5: factory, idea backwardness, backwardness, relations enlightenment, labor relations
CPH_Mor_AS1_P6: metropole, industrialized, americans indigenous, taxation, kingdoms
CPH_Mor_AS1_P7: prince, nationalist, drain, congo, religion
CPH_Mor_AS1_P8: britain, india, encomienda, native population, europeans
CPH_Mor_AS1_P9: colonizators, tutsi, hutu tutsi, hutu, british empire
CPH_Mor_AS2_P1: empirialism, evoluvetion, empirialism new, people claim, new colonialism
CPH_Mor_AS2_P18: locations, run, decolonization, trust, colonized people
CPH_Mor_AS2_P19: settlers, lands, nation states, native peoples, peoples
CPH_Mor_AS2_P20: merchants, networks, decolonization, merchant, strategy crossroad
CPH_Mor_AS2_P21: spanish monarch, monarch, pre modern, centralization process, modern history
CPH_Mor_AS2_P22: atlantic revolution, indipendence, historians, merchants, production knowledge
CPH_Mor_AS2_P23: wwii, decolonization wwii, mercantilism, wwi, process decolonization
CPH_Mor_AS2_P24: merchant, merchants, facilitated, decolonization, merchant network
CPH_Mor_AS2_P25: decolonization, merchant, empires, american revolution, colonial rule
CPH_Mor_AS2_P26: thier, trading roots, untill, roots, colonisers
CPH_Mor_AS2_P27: according frederick, globalization good, cooper, frederick, frederick cooper
CPH_Mor_AS2_P28: merchant, decolonization, merchant networks, century decolonization, networks
CPH_Mor_AS2_P29: century characterized, decolonization, merchant, wave, spanish
CPH_Mor_AS2_P30: decolonisation, silver, trading, colonisers, places known
DEIC_San_AS1_P35_P38_P41_P164: informal economy, informality, ilo, elgin, informal
ELClass_Zot_AS1_P157: prestige, overt prestige, linguistic, overt, determinism
ELClass_Zot_AS2_P158: racist discourse, dijk, van dijk, van, identified forms
ELClass_Zot_AS2_P159: sexism, ethnolect, racism, people different, linguistic
ELClass_Zot_AS2_P161: racsim, disability, identified, women, van dijk
ELClass_Zot_AS2_P163: racist discourse, ethnolect, racist, disability, dijk
ELClass_Zot_AS3_P160: identity language, blind person, person language, blind, disability
ELClass_Zot_AS3_P162: person speaks, community practice, speaks, language, hypothesis
EOK_Geu_AS1_P34: institutional relationship, innovation, applied research, survey, model innovation
EOK_Geu_AS1_P35: research output, collaborate, variable, st, output
EOK_Geu_AS1_P36: innovation, big data, research, st, use big
EOK_Geu_AS1_P37: financed, innovation, business financed, spending, profitability
EOK_Geu_AS1_P38: log, st, manual, industry relationship, innovation
EOK_Geu_AS1_P39: innovation, piedmont, affiliated, lbd, expenditures
EOK_Geu_AS2_P34_P35_P40: sci hub, sci, hub, libraries, shadow libraries
EOK_Geu_AS2_P39_P164_P165: brain, brain drain, skilled, skilled migration, high skilled
