======================================================================
  AGENCY  –  PER DOCUMENTO
======================================================================

Documento                                      Concept%  AuthID%  SrcAttr%  Impers%
CPH_Mor_AS1_P8                                     64.6      0.0       4.2      4.2
CPH_Mor_AS1_P9                                     50.8     14.3       4.8     17.5
CPH_Mor_AS2_P1                                     43.8      6.2       3.1     43.8
CPH_Mor_AS2_P18                                    46.3      7.3       0.0      2.4
CPH_Mor_AS2_P19                                    61.0      1.7       3.4      6.8
CPH_Mor_AS2_P20                                    57.1      0.0       0.0      8.6
CPH_Mor_AS2_P21                                    53.6      7.1      12.5      5.4
CPH_Mor_AS2_P22                                    60.3     10.3       1.3      5.1
CPH_Mor_AS2_P23                                    73.7      0.0       0.0     10.5
CPH_Mor_AS2_P24                                    62.5      0.0       2.5      5.0
CPH_Mor_AS2_P25                                    62.5      0.0       0.0     12.5
CPH_Mor_AS2_P26                                    48.1     11.5       1.9      0.0
CPH_Mor_AS2_P27                                    48.0     14.0       2.0     16.0
CPH_Mor_AS2_P28                                    61.0      0.0       2.4      9.8
CPH_Mor_AS2_P29                                    49.1      3.8      11.3      3.8
CPH_Mor_AS2_P30                                    36.7      5.0       0.0     10.0
DEIC_San_AS1_P35_P38_P41_P164                      61.5      3.4       4.3      6.8
ELClass_Zot_AS1_P157                               46.1     26.9       0.0      3.9
ELClass_Zot_AS2_P158                               64.3      0.0       7.1      0.0
ELClass_Zot_AS2_P159                               64.7      5.9       2.9      0.0
ELClass_Zot_AS2_P161                               46.7     13.3       6.7      6.7
ELClass_Zot_AS2_P163                               52.0      4.0      12.0      8.0
ELClass_Zot_AS3_P160                               58.8      2.9       0.0     14.7
ELClass_Zot_AS3_P162                               51.3      5.1       0.0     10.3
EOK_Geu_AS1_P34                                    56.5      2.2       6.5      4.3
EOK_Geu_AS1_P35                                    46.7      3.3       0.0     13.3
EOK_Geu_AS1_P36                                    54.0      2.7       8.1      2.7
EOK_Geu_AS1_P37                                    62.5     10.0      10.0      2.5
EOK_Geu_AS1_P38                                    42.9     11.9      11.9      7.1
EOK_Geu_AS1_P39                                    57.7      3.9       9.6      5.8
EOK_Geu_AS2_P34_P35_P40                            50.2      7.4      15.9      6.2
EOK_Geu_AS2_P39_P164_P165                          57.0      5.0      10.1      5.0
EOK_Geu_AS3_P164                                   45.3      0.0       1.9      3.8
EOK_Geu_AS3_P165                                   55.2      1.5       3.0      9.0
EOK_Geu_AS3_P40                                    54.5      0.0       0.0     13.6
EOK_Geu_AS3_P41                                    58.5      9.4       7.5      7.5
EOK_Geu_AS3_P42                                    43.5     13.0       6.5     23.9
GLD_Gog_AS1_P169_P170                              43.1     13.8      12.7      7.2
