======================================================================
  TOPIC MODELING LDA  –  PER DOCUMENTO
======================================================================

Documento                                      Topic dom
SCSA_Bon_AS1_P67                                       6
SCSA_Bon_AS1_P68                                       6
SCSA_Bon_AS1_P69                                       6
SCSA_Bon_AS1_P70                                       6
SCSA_Bon_AS1_P71                                       6
SCSA_Bon_AS1_P72                                       6
SCSA_Bon_AS2_P54                                       6
SCSA_Bon_AS2_P56                                       6
SCSA_Bon_AS2_P62                                       6
SCSA_Bon_AS2_P67                                       6
SCSA_Bon_AS2_P68                                       6
SCSA_Bon_AS2_P69                                       6
SCSA_Bon_AS2_P70                                       6
SCSA_Bon_AS2_P72                                       6
SCSA_Bon_AS2_P73                                       6
SCSA_Bon_AS2_P74                                       6
SCSA_Bon_AS2_P75                                       6
SCSA_Bon_AS2_P76                                       6
SCSA_Bon_AS2_P77                                       6
SCSA_Bon_AS2_P78                                       6
SCSA_Bon_AS2_P79                                       6
SCSA_Bon_AS2_P80                                       6
SCSA_Bon_AS2_P81                                       6
SCSA_Bon_AS2_P82                                       6
SCSA_Bon_AS2_P83                                       6
SCSA_Bon_AS2_P84                                       6
SCSA_Bon_AS2_P85                                       6
SCSA_Bon_AS2_P86                                       6
SCSA_Bon_AS2_P87                                       6
SCSA_Bon_AS2_P88                                       6
SCSA_Bon_AS2_P89                                       6
SCSA_Bon_AS2_P90                                       6
SCSA_Bon_AS2_P91                                       6
SCSA_Bon_AS2_P92                                       6
SCSA_Bon_AS2_P93                                       6
SCSA_Bon_AS2_P94                                       6
SCSA_Bon_AS2_P95                                       6
SCSA_Bon_AS2_P96                                       6
SCSA_Bon_AS2_P97                                       6
