======================================================================
  ANALISI VERBI  –  PER DOCUMENTO
======================================================================

Documento                                      Tot verbi  Passivo%  Mod tot
EOK_Geu_AS2_P34_P35_P40                              660       8.3       55
EOK_Geu_AS2_P39_P164_P165                            469       8.6       45
EOK_Geu_AS3_P164                                     161       1.1       44
EOK_Geu_AS3_P165                                     146       6.9       24
EOK_Geu_AS3_P40                                       59      10.8        9
EOK_Geu_AS3_P41                                      151       8.9       29
EOK_Geu_AS3_P42                                      140       0.0       36
GLD_Gog_AS1_P169_P170                                451       9.9       62
GLD_Gog_AS1_P16_P167_P168                            419      14.8       52
GLD_Gog_AS1_P26                                      468      13.5       87
GLD_Gog_AS1_P31_P32_P33                              465       9.0       61
NAL_Car_AS1_P100                                      63      15.6        3
NAL_Car_AS1_P101                                      99      12.5       11
NAL_Car_AS1_P102                                     161      14.3       24
NAL_Car_AS1_P103                                      79       8.9       10
NAL_Car_AS1_P104                                     111       4.0       18
NAL_Car_AS1_P172                                     120      12.9        9
NAL_Car_AS1_P98                                      137       7.4       13
NAL_Car_AS1_P99                                      131      11.0       32
NAL_DiL_AS1_P105                                     270      13.2       29
NAL_DiL_AS1_P106                                     243       8.6       24
NAL_DiL_AS1_P107                                     250       6.8       34
NAL_DiL_AS1_P108                                     220      10.9       28
NAL_DiL_AS1_P109                                     233      10.0       21
NAL_DiL_AS1_P166                                     240       7.4       36
SCSA_Bon_AS1_P54                                      65       7.9        9
SCSA_Bon_AS1_P55                                      78       9.5        7
SCSA_Bon_AS1_P56                                      78       3.9       16
SCSA_Bon_AS1_P57                                     181      17.5       44
SCSA_Bon_AS1_P58                                     160      16.7       17
SCSA_Bon_AS1_P59                                     111       9.2       21
SCSA_Bon_AS1_P60                                     167       7.5       53
SCSA_Bon_AS1_P61                                     320      23.9       94
SCSA_Bon_AS1_P62                                      66       2.1       12
SCSA_Bon_AS1_P63                                     165       9.2       12
SCSA_Bon_AS1_P64                                      80       0.0       10
SCSA_Bon_AS1_P65                                      92       0.0       14
SCSA_Bon_AS1_P66                                      91       9.8       14
SCSA_Bon_AS1_P67                                      86      11.8       22
SCSA_Bon_AS1_P68                                      70       3.9       15
SCSA_Bon_AS1_P69                                     113       7.1       23
SCSA_Bon_AS1_P70                                     136       2.4       36
SCSA_Bon_AS1_P71                                     159      16.5       43
SCSA_Bon_AS1_P72                                      70      14.3        9
SCSA_Bon_AS2_P54                                     103       7.9       21
SCSA_Bon_AS2_P56                                     119       2.4       20
SCSA_Bon_AS2_P62                                      71       5.0       11
SCSA_Bon_AS2_P67                                      99      17.0       13
SCSA_Bon_AS2_P68                                      95       4.8       21
SCSA_Bon_AS2_P69                                     183      13.9       33
SCSA_Bon_AS2_P70                                     112       1.5       23
SCSA_Bon_AS2_P72                                      57      22.2       15
SCSA_Bon_AS2_P73                                     122      15.2       19
SCSA_Bon_AS2_P74                                     108      11.4       15
SCSA_Bon_AS2_P75                                      92       9.8        6
SCSA_Bon_AS2_P76                                      63      12.2        6
SCSA_Bon_AS2_P77                                     174       9.6       22
SCSA_Bon_AS2_P78                                      73      11.6       15
SCSA_Bon_AS2_P79                                      56      11.4        7
SCSA_Bon_AS2_P80                                     148      25.8       20
SCSA_Bon_AS2_P81                                     151      12.8       39
SCSA_Bon_AS2_P82                                     114      14.1       14
SCSA_Bon_AS2_P83                                      69       9.8        5
SCSA_Bon_AS2_P84                                      43       7.7        5
SCSA_Bon_AS2_P85                                      76      24.4        9
SCSA_Bon_AS2_P86                                     105      16.7       22
SCSA_Bon_AS2_P87                                     129      20.0       29
SCSA_Bon_AS2_P88                                      91       5.7        9
SCSA_Bon_AS2_P89                                     113      22.6       18
SCSA_Bon_AS2_P90                                     136      15.6       15
SCSA_Bon_AS2_P91                                     144       7.2       39
SCSA_Bon_AS2_P92                                     211      14.3       38
SCSA_Bon_AS2_P93                                     195      16.4       39
SCSA_Bon_AS2_P94                                     128      23.1       39
SCSA_Bon_AS2_P95                                     182      21.2       32
SCSA_Bon_AS2_P96                                     203      15.2       43
SCSA_Bon_AS2_P97                                     123      15.7       11
