======================================================================
  COESIONE  –  PER DOCUMENTO
======================================================================

Documento                                      Tot mark  Den/100s  Div idx
ELClass_Zot_AS2_P163                                  1      3.85    1.000
ELClass_Zot_AS3_P160                                  9     37.50    0.222
ELClass_Zot_AS3_P162                                  3     13.04    0.333
EOK_Geu_AS1_P34                                      10     25.64    0.600
EOK_Geu_AS1_P35                                       8     25.81    0.625
EOK_Geu_AS1_P36                                       9     21.95    0.333
EOK_Geu_AS1_P37                                       2      6.06    1.000
EOK_Geu_AS1_P38                                       9     39.13    0.556
EOK_Geu_AS1_P39                                      16     32.65    0.438
EOK_Geu_AS2_P34_P35_P40                              50     16.45    0.300
EOK_Geu_AS2_P39_P164_P165                            40     11.94    0.375
EOK_Geu_AS3_P164                                     12     38.71    0.333
EOK_Geu_AS3_P165                                     12     24.49    0.500
EOK_Geu_AS3_P40                                       1      7.69    1.000
EOK_Geu_AS3_P41                                      11     26.83    0.636
EOK_Geu_AS3_P42                                      13     27.08    0.308
GLD_Gog_AS1_P169_P170                                25     22.12    0.520
GLD_Gog_AS1_P16_P167_P168                            42     48.28    0.309
GLD_Gog_AS1_P26                                      24     25.81    0.500
GLD_Gog_AS1_P31_P32_P33                              39     43.33    0.333
NAL_Car_AS1_P100                                      6     37.50    0.833
NAL_Car_AS1_P101                                      8     44.44    0.375
NAL_Car_AS1_P102                                     13     20.63    0.692
NAL_Car_AS1_P103                                      7     35.00    1.000
NAL_Car_AS1_P104                                      3     10.71    1.000
NAL_Car_AS1_P172                                      9     25.00    0.667
NAL_Car_AS1_P98                                       4     12.50    0.750
NAL_Car_AS1_P99                                       5     15.62    0.800
NAL_DiL_AS1_P105                                     13     22.81    0.462
NAL_DiL_AS1_P106                                     17     25.37    0.353
NAL_DiL_AS1_P107                                      5      9.62    0.600
NAL_DiL_AS1_P108                                     12     25.00    0.333
NAL_DiL_AS1_P109                                      6      8.00    0.833
NAL_DiL_AS1_P166                                      5      9.26    1.000
SCSA_Bon_AS1_P54                                      7     33.33    0.714
SCSA_Bon_AS1_P55                                      4     14.81    1.000
SCSA_Bon_AS1_P56                                      4     13.79    0.500
SCSA_Bon_AS1_P57                                     12     31.58    0.333
SCSA_Bon_AS1_P58                                     11     22.00    0.364
SCSA_Bon_AS1_P59                                      6     16.22    0.833
SCSA_Bon_AS1_P60                                      6     15.38    0.667
SCSA_Bon_AS1_P61                                     16     20.51    0.312
SCSA_Bon_AS1_P62                                      0      0.00    0.000
SCSA_Bon_AS1_P63                                      5      6.25    0.800
SCSA_Bon_AS1_P64                                      4      7.02    0.500
SCSA_Bon_AS1_P65                                      6     15.38    0.500
SCSA_Bon_AS1_P66                                      6     19.35    0.500
SCSA_Bon_AS1_P67                                      1      4.17    1.000
SCSA_Bon_AS1_P68                                      2      8.33    1.000
SCSA_Bon_AS1_P69                                     10     27.78    0.400
SCSA_Bon_AS1_P70                                      9     20.45    0.333
SCSA_Bon_AS1_P71                                     14     33.33    0.500
SCSA_Bon_AS1_P72                                      1      3.45    1.000
SCSA_Bon_AS2_P54                                      2      5.41    1.000
SCSA_Bon_AS2_P56                                      9     20.45    0.556
SCSA_Bon_AS2_P62                                      2      8.33    0.500
SCSA_Bon_AS2_P67                                      5     13.89    0.600
SCSA_Bon_AS2_P68                                      6     14.63    0.500
SCSA_Bon_AS2_P69                                      9     15.79    0.333
SCSA_Bon_AS2_P70                                     11     25.58    0.273
SCSA_Bon_AS2_P72                                      0      0.00    0.000
SCSA_Bon_AS2_P73                                      3      7.32    0.667
SCSA_Bon_AS2_P74                                      4      8.89    0.250
SCSA_Bon_AS2_P75                                      7     17.95    0.571
SCSA_Bon_AS2_P76                                      2      6.90    0.500
SCSA_Bon_AS2_P77                                      8     14.55    0.625
SCSA_Bon_AS2_P78                                      4     13.79    0.750
SCSA_Bon_AS2_P79                                      1      4.55    1.000
SCSA_Bon_AS2_P80                                      9     16.67    0.444
SCSA_Bon_AS2_P81                                     17     36.96    0.235
SCSA_Bon_AS2_P82                                      5     11.90    0.200
SCSA_Bon_AS2_P83                                      4     15.38    0.750
SCSA_Bon_AS2_P84                                      2      9.09    0.500
SCSA_Bon_AS2_P85                                      4     16.00    0.500
SCSA_Bon_AS2_P86                                      4     11.76    0.500
SCSA_Bon_AS2_P87                                      3      6.82    0.667
SCSA_Bon_AS2_P88                                      5     11.11    0.800
SCSA_Bon_AS2_P89                                      4      9.52    0.500
SCSA_Bon_AS2_P90                                     14     37.84    0.429
SCSA_Bon_AS2_P91                                      4      9.52    0.500
SCSA_Bon_AS2_P92                                      7     10.29    0.571
SCSA_Bon_AS2_P93                                     11     18.33    0.182
SCSA_Bon_AS2_P94                                      5     12.82    0.600
SCSA_Bon_AS2_P95                                      3      6.00    0.333
SCSA_Bon_AS2_P96                                     18     22.50    0.389
SCSA_Bon_AS2_P97                                     10     30.30    0.600
